Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_A05_543736
Composite Element REF	Signal
GFOD1	5.27958153603118
CTNNA1	9.17272475942184
HRBL	4.77673060194536
CBX4	3.991968453391
NTRK2	3.45706845625316
FOXN3	5.34245831478325
MFGE8	6.69303863625484
PFKFB2	3.75422622384497
TAS2R4	3.65722226728738
SH3TC2	3.19908489162746
IL10	3.54591869589111
PXMP4	7.04747043146747
RNF167	7.13730998338203
PRMT5	8.11596456038975
TSKU	5.48221378540126
ATPIF1	8.09285390154004
ETV3	3.39742173789741
PAK7	3.15397175930842
PDLIM1	10.4118479114210
CEP63	5.39363358692306
WDFY3	4.08258941218676
RNF126	5.99887625777755
DPM1	8.06878664073767
CLIC4	5.61775990643666
ACR	4.03271250413152
KLK7	9.26162222462346
ALOX5AP	7.7489140045525
LRP1	4.40688877919458
TNK1	5.96253015082012
TAS2R9	3.21485224493943
ZNF16	5.91280237461366
POLR1B	5.15330987914179
SLC8A2	3.89513554068446
OLFM4	2.81776868163872
TACC1	5.67434045611153
SAMHD1	7.6480328662273
ATP13A2	5.18709498372639
KRT4	3.74713385420158
PAX6	6.09411490519561
SCG2	3.27159197016971
SLC17A6	3.47953766041698
TUBB4	3.66041912620354
PADI4	3.09215240130836
FMO3	3.27476345401948
NLK	3.67231397384836
POU4F3	3.04936067484668
MDM2	3.50961374211621
CAPNS1	10.6128816548922
SDF4	7.2363901660014
ITGBL1	2.93907644139471
TAP2	4.69405952116972
OR2C1	3.83624620177892
KLHDC3	8.26619190317747
EFHD2	6.47574975569914
GALR3	3.59434294387797
NBEA	2.88459451905977
ABCA6	3.19698761161161
ABBA-1	3.92126328881117
GNAI1	3.35191689575566
CLDN3	8.78450345574898
AKT2	3.25110745947324
EGFR	4.41251661220853
VPS4B	7.77968599599318
RBM16	7.67317771485673
GALNT6	5.68366137744964
ZDHHC3	5.40543404140077
SLC25A4	8.9480637303571
CYB5B	5.112935616432
NDRG1	7.68321556153442
SESN1	5.26101181993754
GBE1	6.93812117456557
MRPL46	6.86154670766687
CLASP1	5.35349106108519
FARP2	4.44248594154061
ACOT11	3.56971054181834
LDHAL6B	2.9557177429574
MAPKAPK3	5.8403046337368
NCAM2	2.91629388933725
AFAP1	4.07764715208264
PRKD2	6.10848952144454
OR2H2	3.34335164811217
ZFP36L1	7.36103978813608
DZIP1	3.52687182833663
GPR161	4.15854466617272
RNF146	4.80782597933386
NKX3-1	4.07112663382045
CCNB2	9.10878173982123
ZNF10	4.01846389549388
WDR74	6.35264991518793
FAM134A	7.35307277112886
PCNP	8.61938781722858
PURA	5.07202086431743
DNPEP	7.58620952377022
ERBB2	5.49026245801299
CREB1	5.11785945822544
NEO1	7.0445625482923
DDX3Y	3.24753034178568
RPS3A	12.8356358391528
MXRA7	7.82814442753815
LGALS3	11.9945415344987
GLT8D1	7.64713855988013
TMPRSS3	9.2789062515775
UPB1	3.20431770234661
LAT	5.77368977319637
CLDN14	3.62930480894141
DHX38	5.57953899329943
KCNA3	3.2479024580693
BTBD1	8.09223161742904
TARS2	5.78706439781364
SKIV2L2	8.19445133392874
ABCF1	8.57244326536375
CDT1	6.50191843623278
ZHX2	5.99742423961472
FCF1	4.70043749559435
LRRC49	3.76310262306399
GUCY1B2	3.14026654486156
CD28	3.32090078640849
SMARCA4	7.84740015622829
SEPT2	8.32844621239418
SOHLH2	3.40009454229904
MCOLN3	4.26648031654019
LRP8	5.22790130483652
TAGLN3	4.02993237082147
MASP2	3.67025827153557
GPATCH3	4.14784648199862
TTRAP	8.34270380604491
AGL	7.3532000076544
NFE2L3	3.75723566302525
PSD4	3.90420746585563
PALMD	5.75496791136648
CCNB1IP1	8.23702508423126
