Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_A04_443068
Composite Element REF	Signal
CEP63	4.92646078328158
WDFY3	4.81437544085517
RNF126	4.35819737405723
DPM1	8.96350079426868
CLIC4	5.77106877874811
ACR	3.89984377173609
KLK7	6.59823348468222
ALOX5AP	5.4140876274381
LRP1	5.07189438988816
TNK1	4.75483318010202
TAS2R9	3.16109789100148
ZNF16	5.04232100051019
POLR1B	6.06999823547646
SLC8A2	3.99622124027695
OLFM4	2.94767010871339
TACC1	5.42716294441252
SAMHD1	5.85104976771043
ATP13A2	4.97300940031919
KRT4	3.79661220012261
PAX6	3.35042842540462
SCG2	4.92783717657738
SLC17A6	3.57958295583816
TUBB4	4.58194874144149
PADI4	3.04155321426710
FMO3	3.08229183954126
NLK	3.82957061427043
POU4F3	3.32305929713212
MDM2	3.55604968625957
CAPNS1	8.53881175645938
SDF4	6.65634204326247
ITGBL1	4.85173350779985
TAP2	4.30378172347079
OR2C1	3.65742890954292
KLHDC3	5.83959162067676
EFHD2	5.17038110376406
GALR3	3.44316488181452
NBEA	3.81350946667345
ABCA6	4.13463610176876
ABBA-1	4.20288397722845
GNAI1	4.82859664167242
CLDN3	6.04830925613702
AKT2	3.46462713514603
EGFR	4.52652837165410
VPS4B	6.86411377135852
RBM16	7.2984158639741
GALNT6	3.64717293274136
ZDHHC3	4.64207450552517
SLC25A4	6.31183518974331
CYB5B	5.16022613064027
NDRG1	8.61241004302813
SESN1	4.94845350163023
GBE1	8.37720695521395
MRPL46	5.53650619900831
CLASP1	6.11103343987626
FARP2	4.46990173650466
ACOT11	3.68544347862630
LDHAL6B	3.08386931414996
MAPKAPK3	4.71677059331306
NCAM2	3.10572391661650
AFAP1	4.58563949487832
PRKD2	6.2876637723059
OR2H2	3.55561634184301
ZFP36L1	7.09252666323881
DZIP1	4.3773657109107
GPR161	4.19131273675838
RNF146	3.81823791208547
NKX3-1	3.98136197954983
CCNB2	7.09840032488144
ZNF10	3.8248265061668
WDR74	4.40078317163326
FAM134A	6.34853082704617
PCNP	8.18983239938285
PURA	5.05885483420987
DNPEP	6.5361927805887
ERBB2	5.26194841403898
CREB1	4.50981136133150
NEO1	5.24328775317308
DDX3Y	3.31173459746279
RPS3A	11.8220284923228
MXRA7	9.49066851340862
LGALS3	8.87405764547306
GLT8D1	6.59293681224808
TMPRSS3	6.02919824221082
UPB1	3.7566053882406
LAT	4.2942265502413
CLDN14	3.83291868972386
DHX38	4.38565205335353
KCNA3	3.36654380260609
BTBD1	7.24125569358558
TARS2	5.41402386449007
SKIV2L2	5.85555715977012
ABCF1	6.72354242183204
CDT1	3.25821218863324
ZHX2	4.98246514722699
FCF1	4.41048175963695
LRRC49	4.49314704840607
GUCY1B2	3.69301331763727
CD28	3.49144700725266
SMARCA4	6.05463677420674
SEPT2	7.98061037773085
SOHLH2	3.41391982415603
MCOLN3	3.58973857042616
LRP8	5.31385165164037
TAGLN3	3.99074375842296
MASP2	3.54831453242699
GPATCH3	4.15272628838078
TTRAP	7.51922339042416
AGL	6.47116241924757
NFE2L3	3.73439767295371
PSD4	3.66809227046578
PALMD	4.78406237372999
CCNB1IP1	6.04550538711444
TMEM43	6.60509921452058
OBFC1	4.97524509735093
STAT5B	4.42524459297232
C14orf79	4.70626750984675
ENPEP	4.17638166560351
SSB	7.38289245428108
SCT	3.08128740360092
TIMM23	5.32777273082341
