Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_A11_297970
Composite Element REF	Signal
SLC25A4	8.29720414217615
CYB5B	5.41489797160646
NDRG1	8.97952689780578
SESN1	4.27408975013368
GBE1	7.64752254496582
MRPL46	5.96568248935535
CLASP1	5.40168447307351
FARP2	3.94188581233408
ACOT11	4.3814274319757
LDHAL6B	2.8822418950734
MAPKAPK3	5.62042534739939
NCAM2	3.07155532481537
AFAP1	4.02805038624139
PRKD2	6.22108421972915
OR2H2	3.32217655402544
ZFP36L1	6.62771399102991
DZIP1	3.75684163360929
GPR161	3.65323389448378
RNF146	4.53990791356516
NKX3-1	3.86525752490456
CCNB2	8.27455389728517
ZNF10	3.76415907928450
WDR74	4.3076228837648
FAM134A	6.97283170568274
PCNP	8.58725962038655
PURA	5.45208661716409
DNPEP	7.1151255891161
ERBB2	5.20563666533164
CREB1	5.10391990566118
NEO1	6.68586775943951
DDX3Y	3.53020496915433
RPS3A	12.8161278095495
MXRA7	8.81199716817245
LGALS3	9.43873056796015
GLT8D1	7.66642730097081
TMPRSS3	8.03251494150281
UPB1	3.66200963153726
LAT	3.94845403634584
CLDN14	3.69900080250341
DHX38	4.23978963042775
KCNA3	3.16530971493399
BTBD1	7.47772800875812
TARS2	5.09755155622717
SKIV2L2	7.9900023981856
ABCF1	7.43456078500235
CDT1	3.35603158180607
ZHX2	4.9577128057099
FCF1	4.4908437784646
LRRC49	4.11423401466736
GUCY1B2	3.66584528900249
CD28	3.50496951585069
SMARCA4	5.46550525066666
SEPT2	7.920693949156
SOHLH2	3.19328756952994
MCOLN3	3.63453179427768
LRP8	6.38828733956958
TAGLN3	3.78423924214555
MASP2	3.71370524030078
GPATCH3	3.99896825120119
TTRAP	7.74784836961212
AGL	7.61700250868364
NFE2L3	3.95326264184132
PSD4	3.6801602186413
PALMD	6.10891490923973
CCNB1IP1	8.08582253001095
TMEM43	6.26969913789358
OBFC1	5.46711544260358
STAT5B	4.03175369416
C14orf79	4.44685499654327
ENPEP	4.09230502156035
SSB	8.89757655824696
SCT	3.17592578206676
TIMM23	7.12212227566574
SKI	3.60946339529558
SLC22A13	3.45698601746006
