Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_E07_491254
Composite Element REF	Signal
RNF167	6.49787156700845
PRMT5	7.56062577725643
TSKU	6.40249881939955
ATPIF1	8.66917021570478
ETV3	3.27323273329885
PAK7	3.43292083168877
PDLIM1	10.5253763532380
CEP63	5.68679917837209
WDFY3	5.59360688443931
RNF126	4.72940084829328
DPM1	9.00616939440721
CLIC4	5.60283397091646
ACR	3.8376728742635
KLK7	7.13420616563093
ALOX5AP	4.75773201539287
LRP1	5.66450956741463
TNK1	5.08913233227882
TAS2R9	3.22269380173504
ZNF16	6.32852578739136
POLR1B	5.30894959232793
SLC8A2	4.11746761454234
OLFM4	2.92715312364972
TACC1	5.88798575748617
SAMHD1	5.88644418258444
ATP13A2	6.23183362714418
KRT4	3.99175052906036
PAX6	4.71170288826352
SCG2	3.39833244854633
SLC17A6	3.35896381969029
TUBB4	4.03864006532479
PADI4	3.09946226948817
FMO3	3.3566143693751
NLK	4.25930996170522
POU4F3	3.10833477486289
MDM2	3.67402832757881
CAPNS1	10.0091814251169
SDF4	7.61470602539334
ITGBL1	3.27179284068209
TAP2	3.67197204589778
OR2C1	3.37419350947328
KLHDC3	6.7169226333337
EFHD2	6.26983280254821
GALR3	3.70546491473581
NBEA	3.01917855796429
ABCA6	3.15061035943714
ABBA-1	3.94496767075795
GNAI1	5.05414869430123
CLDN3	8.36237782819044
AKT2	3.25035046925339
EGFR	4.61415905756164
VPS4B	7.02665817828657
RBM16	8.01974409559292
GALNT6	8.52724062194343
ZDHHC3	6.07012487623484
SLC25A4	5.90092676895365
CYB5B	6.06772828554773
NDRG1	7.85019590071171
SESN1	5.36409911183701
GBE1	8.01646010497921
MRPL46	5.44915582581777
CLASP1	6.57785647739553
FARP2	4.46681968046583
ACOT11	3.71447811118362
LDHAL6B	2.78824109358711
MAPKAPK3	6.89548163122167
NCAM2	2.99108055152467
AFAP1	5.05134238679614
PRKD2	6.35352538590295
OR2H2	3.33968869537299
ZFP36L1	7.72466882596585
DZIP1	4.41965857361588
GPR161	3.97029656167544
RNF146	3.92930726711059
NKX3-1	3.97442561853551
CCNB2	5.39308088921899
ZNF10	3.51220709134084
WDR74	6.02979339189138
FAM134A	8.28863236779601
PCNP	8.67319378507604
PURA	5.86728317074195
DNPEP	6.97073249976041
ERBB2	6.46385073896207
CREB1	5.28559454438326
NEO1	6.12967748138594
DDX3Y	3.14930507090973
RPS3A	12.8507551248259
MXRA7	9.77783129641366
LGALS3	10.0637926735314
GLT8D1	7.94984131234268
TMPRSS3	7.15981314533504
UPB1	3.08612131957628
LAT	3.90945338191859
CLDN14	3.77526515182822
DHX38	5.10306429120054
KCNA3	3.16736148316532
BTBD1	7.68940832939231
TARS2	5.65535711365703
SKIV2L2	6.78771229201067
ABCF1	7.09591962459127
CDT1	2.99993885887206
ZHX2	8.58911860334331
FCF1	5.57872429308151
LRRC49	4.07474906212732
GUCY1B2	3.35124767858847
CD28	3.26741136798769
SMARCA4	6.02652546871471
SEPT2	8.66760231442262
SOHLH2	3.62794014986659
MCOLN3	5.04916055866763
LRP8	5.43182045814755
TAGLN3	3.66839984232933
MASP2	3.46132730999835
GPATCH3	4.3146713312743
TTRAP	7.18428955155926
AGL	7.76472796265425
NFE2L3	5.10771131303272
PSD4	4.26712356945247
PALMD	4.40005335745157
CCNB1IP1	8.7175091923145
TMEM43	6.90799370618393
OBFC1	6.43382787478304
STAT5B	4.68854208894735
C14orf79	6.03283220551512
ENPEP	3.86706056524643
SSB	8.59388221007428
SCT	2.77295402750347
TIMM23	6.0754946549397
SKI	3.65629064663302
SLC22A13	3.03425642762521
