Hybridization REF	APEEK_p_TCGA_GBM16-Ov15_Expr_HT_HG-U133A_96-HTA_B03_464078
Composite Element REF	Signal
FBXO34	6.70967630075871
ALOX12	3.40562607450430
RB1CC1	6.46431615311846
PCDH12	4.26422380604455
RPE	4.53604950802669
EIF4E	5.72243827766993
CSDC2	3.79148794029551
ABHD5	4.43407510494229
TMBIM1	5.67955698460786
PET112L	4.96693189072233
P2RXL1	3.07976845292271
F2RL2	3.453854744494
TRMT1	5.34551326417059
IMPG2	3.59340537112223
LRRC32	4.24627161971715
BGLAP	4.19067108708024
HTR4	3.47200222147558
MRAS	4.62770252632584
TRAF6	4.54928080366242
AXL	4.57830657652046
ATP2C2	4.19472033963679
LMNB1	6.06571835847468
TELO2	5.83786744245513
PNPLA3	3.71577455993560
CSNK1E	6.19884456900736
SRP14	9.86452358681743
KCNQ4	3.26589799683785
PIK3C2B	4.79572875761787
C15orf15	5.63148382798998
TUBB2B	3.143531444167
USP15	4.34354087481847
C12orf41	5.4523079873054
CEND1	4.01555065940155
RNF31	3.97828530580734
TCEAL2	9.63949704632036
PTGER2	3.86429772091197
UBN1	7.08478827931333
SLC5A7	3.53920686189062
SLC31A1	6.31731475609169
ADAM29	3.75538354223691
ST7L	4.63379678612251
GFOD1	4.75147592202395
CTNNA1	8.66590751154615
HRBL	4.06849998385727
CBX4	3.83995744298919
NTRK2	4.36913030568408
FOXN3	5.68983379152033
MFGE8	5.49461354991746
PFKFB2	4.03404244719256
TAS2R4	4.04045361297906
SH3TC2	3.25196313024253
IL10	3.49140076456068
PXMP4	6.50012851145972
RNF167	6.26467181168033
PRMT5	4.68439935347832
TSKU	5.24243317130403
ATPIF1	7.96382760644022
ETV3	3.30202066253367
PAK7	4.87512172262461
PDLIM1	8.88106587038751
CEP63	4.63821680915076
WDFY3	4.43330182868226
RNF126	3.90613973037022
DPM1	7.30179340271814
CLIC4	5.15161227873449
ACR	3.86420116685465
KLK7	7.26507688715401
ALOX5AP	4.50022457168211
LRP1	4.38480179568141
TNK1	4.55036574992874
TAS2R9	3.26311600929371
ZNF16	5.05071687705194
POLR1B	5.5249431379124
SLC8A2	4.1333686444777
OLFM4	2.85099646945905
TACC1	5.14540107495203
SAMHD1	5.82183041398068
ATP13A2	4.07125546729787
KRT4	4.35566631274955
PAX6	4.58686337600586
SCG2	3.64474736246637
SLC17A6	3.54770756333892
TUBB4	3.94020210116763
PADI4	3.17486504811810
FMO3	3.4655190759644
NLK	4.44400002333024
POU4F3	3.29384809673909
MDM2	3.5494445083506
CAPNS1	9.75809488851393
SDF4	6.20273469832624
ITGBL1	4.12028344692552
TAP2	4.18171688228273
OR2C1	3.81635821828908
KLHDC3	5.93137243963606
EFHD2	5.48620309538988
GALR3	3.64007411242338
NBEA	3.85975305935869
ABCA6	3.35617051565911
ABBA-1	3.88477010109589
GNAI1	5.47437312980676
CLDN3	7.39392654475209
AKT2	3.48825535381667
EGFR	4.46986460804794
VPS4B	6.23472155381218
RBM16	7.76216829784953
GALNT6	5.25697196692617
ZDHHC3	5.38463700605523
SLC25A4	5.39720105499104
CYB5B	5.5907883862828
NDRG1	7.6094922524496
SESN1	4.4176659650112
GBE1	7.98262051036892
MRPL46	5.41062434582197
CLASP1	5.36683471072239
FARP2	4.73129033513088
ACOT11	4.14427983623961
LDHAL6B	3.09401677892548
MAPKAPK3	5.93412087240008
NCAM2	3.12169349370998
AFAP1	4.02787377680897
PRKD2	4.64796833137101
OR2H2	3.57724786572603
ZFP36L1	7.30971739239396
DZIP1	5.65548322829327
GPR161	4.57980102244986
RNF146	3.6142952291377
NKX3-1	4.04245460302277
CCNB2	7.03443595187075
ZNF10	3.74540454344076
WDR74	5.15287990406924
FAM134A	7.86100291979922
PCNP	8.11150090146648
PURA	5.69775810818648
DNPEP	7.21333238823714
ERBB2	5.35842732367446
CREB1	5.42970044152185
NEO1	5.17740189644165
DDX3Y	3.48714523676114
RPS3A	11.9616710075365
MXRA7	8.80891891957285
LGALS3	11.1895115070695
GLT8D1	7.30323029869776
TMPRSS3	7.72573185095158
UPB1	3.48748887437549
LAT	3.86416394174464
CLDN14	3.81420154423801
DHX38	5.11624305130383
KCNA3	3.28554078612600
BTBD1	6.49899305720169
TARS2	5.3314662975775
SKIV2L2	6.0958752099947
ABCF1	5.89355039704451
CDT1	3.52838447578912
ZHX2	5.46338954036767
FCF1	4.52235104907803
LRRC49	5.80627092594289
GUCY1B2	3.59223847977536
CD28	3.45550858739325
SMARCA4	6.64507963699835
SEPT2	8.37422177235999
SOHLH2	3.32321697610581
MCOLN3	3.9630561367685
LRP8	5.48358713559577
TAGLN3	3.97741287361232
MASP2	3.7142149077054
GPATCH3	3.81037335001642
TTRAP	7.15468911026243
AGL	5.65424595499434
NFE2L3	5.50395999760893
PSD4	3.57920094337347
PALMD	5.50593727225432
CCNB1IP1	6.84636325511191
TMEM43	6.15708629334694
OBFC1	5.08078598027773
