Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_A12_471884
Composite Element REF	Signal
C10orf97	5.13556635578527
ALDH1L1	3.80388860300596
CCL23	3.3512305565744
OBSL1	4.80356426435988
SLC12A7	7.91652588302767
THAP4	5.39172174847072
RBM4B	5.96937009600497
OGFRL1	4.79721435422796
KIAA0831	5.87193822271023
C12orf11	7.78265864202263
PPP1R15A	4.8800677518233
KIAA0240	6.11237125648555
CD1B	3.61853471771758
FCGR2A	5.91524225146408
MDC1	5.44913718178816
MAN1A1	3.82174625163952
KRT9	4.04580647895405
HTR1A	3.52107404965006
OCEL1	5.00077268307803
ATP11B	5.56031615612695
NLGN4X	4.57045773331879
FBXO34	8.32089197459743
ALOX12	3.56766867851027
RB1CC1	6.35197901678915
PCDH12	4.26354931598296
RPE	5.73903952061695
EIF4E	6.74399450407017
CSDC2	3.88253232326523
ABHD5	4.55645857662961
TMBIM1	6.01144635268202
PET112L	4.00703000524293
P2RXL1	3.27652258668942
F2RL2	3.18907302986722
TRMT1	5.57592084547524
IMPG2	3.48294615541360
LRRC32	7.57710665325285
BGLAP	4.78910295634252
HTR4	3.41946389869968
MRAS	3.54202485492416
TRAF6	4.93709269895753
AXL	4.58602484761602
ATP2C2	3.50035162885985
LMNB1	6.75856746305969
TELO2	4.30438070788786
PNPLA3	3.60746803441061
CSNK1E	5.71626015322808
SRP14	10.1259937134721
KCNQ4	3.33700511214860
PIK3C2B	5.86684245209028
C15orf15	9.25137304187468
TUBB2B	3.26440165043645
USP15	5.46528552274503
C12orf41	7.51953319828289
CEND1	3.56602708701276
RNF31	4.82538730238426
TCEAL2	3.78764086055213
PTGER2	5.80046775308706
UBN1	6.04027098933121
SLC5A7	3.07557593342324
SLC31A1	5.69676901724734
ADAM29	3.52047481206152
ST7L	4.29020929223544
GFOD1	5.61563771848586
CTNNA1	9.10479452495568
HRBL	3.73228824402794
CBX4	3.68646323151193
NTRK2	3.89547183124262
FOXN3	5.28221234152239
MFGE8	8.10664855702971
PFKFB2	3.55551243215058
TAS2R4	3.61619590711011
SH3TC2	3.19899619866301
IL10	3.28840932593185
PXMP4	5.49416501342188
RNF167	5.96433875235262
PRMT5	8.10319446696825
TSKU	5.81864760787271
ATPIF1	7.55640712082933
ETV3	3.27796798155341
PAK7	3.08218998152859
PDLIM1	8.64927997303769
CEP63	5.17866226785145
WDFY3	4.51614173030268
RNF126	4.73680942546706
DPM1	8.33153736916018
CLIC4	6.2009135675976
ACR	3.56750737700614
KLK7	9.32875709150507
ALOX5AP	8.13796861494083
LRP1	4.65216848549088
TNK1	4.27993372060089
TAS2R9	3.34129417189156
ZNF16	6.53543877962611
POLR1B	5.57552816777331
SLC8A2	3.95292205539541
OLFM4	2.78090896101586
TACC1	4.78381945641144
SAMHD1	5.91517750182348
ATP13A2	4.30652456529227
KRT4	4.5403487212982
PAX6	3.41622515243917
SCG2	3.2775283430861
SLC17A6	3.72542284507148
TUBB4	3.87699377052692
PADI4	2.95718035002415
FMO3	3.15193660342007
NLK	3.37956781856999
POU4F3	3.3330570528776
MDM2	3.44627587049016
CAPNS1	9.659015306618
SDF4	5.93842183866692
ITGBL1	3.1369656180999
TAP2	4.44327050257597
OR2C1	3.7348962601969
KLHDC3	6.81188147267811
EFHD2	5.42518900621284
GALR3	3.73179848915494
NBEA	3.39525026542878
ABCA6	3.38119544146574
ABBA-1	3.80538157086264
GNAI1	4.20992316432298
CLDN3	7.68743954734848
AKT2	3.43782965016082
EGFR	4.44781561343942
VPS4B	8.03824201139722
RBM16	7.33381117771696
GALNT6	6.88361356782793
ZDHHC3	6.10462226672832
SLC25A4	5.31776230753575
CYB5B	5.51727446755104
NDRG1	7.64822788004427
SESN1	4.38381066651582
GBE1	6.97685618338129
MRPL46	6.3131516645079
CLASP1	5.73579945898668
FARP2	4.10950851987037
ACOT11	3.63760417765421
LDHAL6B	2.89341671087447
MAPKAPK3	5.85050401108252
NCAM2	3.13613486219749
AFAP1	5.15239641574172
PRKD2	6.61752205731298
OR2H2	3.40310709915808
ZFP36L1	8.05102933381277
DZIP1	4.19071282784565
GPR161	4.06961054408076
RNF146	4.18468681396493
NKX3-1	3.94827168683625
CCNB2	8.61368763836966
ZNF10	3.35339710113215
WDR74	5.90977188847667
FAM134A	8.05343656664872
PCNP	8.81084567781295
PURA	5.33562751152238
DNPEP	6.97017094282637
ERBB2	4.82394958863121
CREB1	6.18396772665069
NEO1	6.03535757211027
DDX3Y	3.33212070719819
RPS3A	12.2428268069259
MXRA7	9.41914920013769
LGALS3	10.7000822674553
GLT8D1	7.24324823265949
TMPRSS3	7.52088959394053
